src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.106.246,8.8.8.8,41709,53,17,2023-05-07 05:51:14,31845.808029174805,6154.656205314028,62.80261433993906,31.40130716996953,31.40130716996953,1,1,70,126,70.0,70.0,70.0,0.0,126.0,126.0,126.0,0.0,126,70,98.0,28.0,784.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,98.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,126.0,0,1,1,70,126
192.168.106.246,8.8.8.8,61684,53,17,2023-05-07 05:51:14,35676.71775817871,4821.071298257807,56.05896858439311,28.029484292196553,28.029484292196553,1,1,70,102,70.0,70.0,70.0,0.0,102.0,102.0,102.0,0.0,102,70,86.0,16.0,256.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,86.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,102.0,0,1,1,70,102
192.168.106.246,8.8.8.8,37253,53,17,2023-05-07 05:51:14,41452.884674072266,5210.735071836932,48.247546961453075,24.123773480726538,24.123773480726538,1,1,70,146,70.0,70.0,70.0,0.0,146.0,146.0,146.0,0.0,146,70,108.0,38.0,1444.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,108.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,146.0,0,1,1,70,146
192.168.106.246,44.196.42.190,38126,443,6,2023-05-07 05:51:14,997436.0466003418,11430.306773912109,29.074545780497424,16.041128706481338,13.033417074016088,16,13,3120,8281,942.0,66.0,195.0,254.31206223850256,5025.0,66.0,637.0,1342.3720681058471,5025,66,393.13793103448273,944.3396059256739,891777.2913198572,320,260,20,5,35622.72109810965,276610.6848297119,0.916253662109375,86663.57456034761,720825.4337310791,246734.3807220459,11.444091796875,48055.02891540527,94818.0146199419,768616.9147491455,279430.627822876,0.95367431640625,64051.409562428795,111212.46818987999,0,0,0,0,1,0,0,0,0,0,0,0.8125,393.13793103448273,64240,186,243801.83219909668,228300.3330230713,236275.51396687826,6336.41473161124,273803.4725189209,228819.1318511963,246359.28869247437,17033.84662522176,0.0,0.0,3707.5,4.5,0.0,20501492.52471984,195.0,637.0,0,16,13,3120,8281
192.168.106.246,44.196.42.190,38128,443,6,2023-05-07 05:51:15,722297.4300384521,10483.216034143854,26.304953070355683,13.844712142292463,12.460240928063218,10,9,1311,6261,583.0,66.0,131.1,155.19307329903612,5025.0,66.0,695.6666666666666,1534.0331011929159,5025,66,398.5263157894737,1098.56285872527,1206840.3545706372,200,180,20,2,40127.63796166314,241122.25619812013,1.1525909423828125,88698.01204867376,722297.4300384521,246234.41696166992,10.49041748046875,80255.27000427246,113138.69474881493,487846.13609313965,241690.39726257324,1.1920928955078125,60980.767011642456,104185.92371091401,0,0,0,0,1,0,0,0,0,0,0,0.9,398.5263157894737,64240,110,240000.72479248047,233860.01586914062,236930.37033081055,3070.354461669922,240675.4493713379,234306.81228637695,237904.86653645834,2665.0098545430083,0.0,0.0,5419.0,4.0,0.0,1420558336.0,131.1,695.6666666666666,0,10,9,1311,6261
192.168.106.246,34.195.211.221,37850,443,6,2023-05-07 05:51:15,11046669.006347656,1331.5326087482017,3.8925761218419113,2.082075600054976,1.8105005217869354,23,20,6339,8370,1354.0,66.0,275.60869565217394,431.3222077297985,5033.0,66.0,418.5,1077.9805424960136,5033,66,342.06976744186045,803.1646532615732,645073.4602487831,460,400,20,7,263015.929426938,9731220.69744873,0.9498199462890625,1481049.6752714708,10814481.258392334,9994989.87197876,8.821487426757812,491567.32992692426,2075851.8699235374,10816880.702972412,9731220.722198486,0.95367431640625,569309.5106827585,2162172.6485230387,0,0,0,0,1,0,0,0,0,0,0,0.8695652173913043,342.06976744186045,64240,259,9731140.613555908,5870.10383605957,2106737.4229431152,3813673.8037368036,9467556.953430176,5836.963653564453,1536428.8943154472,3239176.797077436,4258.0,5.0,5427.0,4.0,6273040.54513523,1422655488.0,275.60869565217394,418.5,0,23,20,6339,8370
192.168.106.246,34.195.211.221,37852,443,6,2023-05-07 05:51:15,10632439.136505127,769.8139528396493,2.5393985005095336,1.3167251484123508,1.2226733520971829,14,13,1575,6610,583.0,66.0,112.5,134.41872212286077,3870.0,66.0,508.46153846153845,1016.6680583299558,3870,66,303.14814814814815,739.0381488526377,546177.3854595335,280,260,20,2,408939.9621193519,9759596.32772522,0.924700927734375,1872216.755297757,10632439.136505127,9759695.053100586,11.444091796875,817879.9335773175,2583816.054055931,10235891.580581665,9759742.259979248,0.95367431640625,852990.965048472,2686833.132365263,0,0,0,0,1,0,0,0,0,0,0,0.9285714285714286,303.14814814814815,64240,110,9757128.715515137,9176.73110961914,2116189.3367767334,3822081.467054609,9759556.293487549,10106.563568115234,1770704.18993632,3574660.4482788267,0.0,0.0,5427.0,5.0,0.0,526750.9269895633,112.5,508.46153846153845,0,14,13,1575,6610
192.168.106.246,8.8.8.8,51542,53,17,2023-05-07 05:51:17,58851.003646850586,14800.087441611739,67.96825461130534,33.98412730565267,33.98412730565267,2,2,202,669,101.0,101.0,101.0,0.0,362.0,307.0,334.5,27.5,362,101,217.75,118.3583013565166,14008.6875,16,16,8,2,19617.02050679525,36171.93807067871,195.0249237060547,14826.770207350464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,217.75,0,0,0.0,0.0,0.0,0.0,35976.88674926758,22484.06410217285,29230.475425720215,6746.411323547363,0.0,0.0,0.0,0.0,0.0,0.0,101.0,334.5,0,2,2,202,669
192.168.106.246,8.8.8.8,53508,53,17,2023-05-07 05:51:17,86489.43901062012,10070.593704429613,46.24842114548617,23.124210572743085,23.124210572743085,2,2,202,669,101.0,101.0,101.0,0.0,361.0,308.0,334.5,26.5,361,101,217.75,118.24418590357837,13981.6875,16,16,8,2,28829.833232625326,49485.18420715332,260.098876953125,20860.734321833308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,217.75,0,0,0.0,0.0,0.0,0.0,49485.206604003906,36484.0030670166,42984.604835510254,6500.601768493652,0.0,0.0,0.0,0.0,0.0,0.0,101.0,334.5,0,2,2,202,669
192.168.106.246,20.189.172.32,43628,443,6,2023-05-07 05:51:17,1155669.2123413086,6366.008474946918,14.710091623501102,8.652995072647707,6.057096550853395,10,7,2102,5255,890.0,54.0,210.2,273.5919589461649,4435.0,56.0,750.7142857142857,1509.7407264906412,4435,54,432.7647058823529,1026.3223624648845,1053337.5916955015,200,140,20,4,72229.31357860565,232977.04998779297,1.38648681640625,105871.89019354859,924603.2238006592,233070.13511657715,622.5109100341797,102733.69153340657,112865.70108012167,935027.3609161377,235670.0897216797,1.430511474609375,155837.89348602295,109265.12693631019,0,0,0,0,1,0,0,0,0,0,0,0.7,432.7647058823529,64240,2049,231261.7301940918,220019.34051513672,227364.182472229,4354.981938158432,230424.165725708,220641.8514251709,228104.25758361816,3793.9941008318556,0.0,0.0,0.0,0.0,0.0,0.0,210.2,750.7142857142857,0,10,7,2102,5255
